0,0
0,0
4.8678e-6,9.7815e-4
3.494e-4,0.067935
0.0016936,0.20091
0.0046977,0.39993
0.010023,0.66505
0.018329,0.99629
0.030279,1.3937
0.046534,1.8573
0.067756,2.3871
0.094607,2.9832
0.12775,3.6456
0.16785,4.3744
0.21557,5.1695
0.27155,6.0258
0.33615,6.895
0.40945,7.7653
0.49146,8.6369
0.58219,9.5096
0.68166,10.384
0.78987,11.259
0.90684,12.135
1.0326,13.012
1.1671,13.891
1.3104,14.771
1.4625,15.652
1.6234,16.534
1.7932,17.418
1.9718,18.302
2.1593,19.188
2.3556,20.075
2.5608,20.963
2.7748,21.852
2.9978,22.743
3.2297,23.634
3.4705,24.527
3.7202,25.421
4.1116,26.764
4.7366,28.784
5.7593,31.824
7.4635,36.345
9.394,40.879
11.552,45.426
13.937,49.986
16.55,54.558
19.393,59.143
22.465,63.739
25.767,68.344
29.299,72.959
33.063,77.583
37.058,82.216
41.285,86.857
45.743,91.501
50.434,96.138
55.357,100.77
60.511,105.39
65.896,110.01
71.512,114.62
77.357,119.21
83.432,123.78
89.735,128.34
96.265,132.87
103.02,137.37
110,141.86
117.21,146.32
124.63,150.76
132.28,155.18
140.15,159.57
148.24,163.93
156.54,168.27
165.06,172.58
173.8,176.87
182.75,181.12
191.91,185.35
201.28,189.54
210.86,193.71
220.65,197.84
230.64,201.95
240.84,206.02
251.24,210.07
261.85,214.09
272.65,218.08
283.65,222.03
294.85,225.96
306.25,229.87
317.84,233.74
329.62,237.58
341.59,241.4
353.75,245.19
366.11,248.94
378.65,252.65
391.37,256.34
404.28,259.98
417.36,263.6
430.63,267.17
444.08,270.71
457.7,274.2
471.49,277.66
485.46,281.07
499.6,284.45
513.9,287.78
528.37,291.07
543.01,294.33
557.8,297.54
572.75,300.7
587.87,303.82
603.13,306.9
618.55,309.95
634.12,312.96
649.84,315.94
665.71,318.89
681.73,321.8
697.89,324.67
714.19,327.51
730.63,330.31
747.22,333.08
763.94,335.8
780.79,338.49
797.78,341.13
814.9,343.74
832.15,346.31
849.52,348.83
867.03,351.32
884.65,353.76
902.4,356.17
920.26,358.54
938.24,360.87
956.34,363.17
974.55,365.43
992.88,367.66
1011.3,369.84
1029.9,371.86
1048.5,373.73
1067.2,375.44
1086,376.99
1104.9,378.38
1123.9,379.62
1142.9,380.71
1161.9,381.65
1181,382.43
1200.1,383.07
1219.3,383.56
1238.5,383.9
1257.7,384.13
1276.9,384.27
1296.1,384.3
1315.3,384.23
1334.5,384.06
1353.7,383.79
1372.9,383.44
1392.1,383.01
1411.2,382.52
1430.3,381.94
1449.4,381.3
1468.4,380.58
1487.4,379.82
1506.4,379.02
1525.3,378.18
